Date,const,Mkt-RF,SMB,HML,RMW,CMA,Mom
2022-01-05,0.00017645149455929607,1.2570960782473253,-0.3224045082628058,-0.9325597873989856,0.3060018055990231,1.6036149376282456,0.12740398598943348
2022-01-06,0.00013888425604446594,1.2481810895834209,-0.3103403995777618,-0.9336885559544916,0.32349254412619033,1.5913906630935362,0.12658134025269271
2022-01-07,0.00021219266114012696,1.2500719886420768,-0.33940666338297615,-0.923806074845127,0.295394793567537,1.6102514364554246,0.13043632057523968
2022-01-10,0.00026698919068348737,1.2479181893937779,-0.3381587083146843,-0.9199703058974482,0.28907441822091035,1.6078754075111195,0.1270419750323271
2022-01-11,0.00023604023627554673,1.2439364417935534,-0.34137667364394547,-0.921192038687674,0.2960805864905452,1.6032569636418126,0.13307131671067665
2022-01-12,0.00018184383168812278,1.2454008435372743,-0.3255163295636398,-0.9240717527352476,0.30114559522193785,1.5975705511312444,0.12381979690463255
2022-01-13,0.0001931949404352126,1.2402469780339713,-0.32406110579285285,-0.9228028429091032,0.3069272995296303,1.5961326980008004,0.12789193843628763
2022-01-14,0.00024268797064140775,1.2338599894662725,-0.3290522424472598,-0.9221867938343701,0.30369637945730027,1.5948440950257117,0.13305612499289698
2022-01-18,0.0002816769334380133,1.2405251722654875,-0.3224410645269831,-0.9293240291220171,0.30124162136362415,1.6044887875251421,0.12835024838522657
2022-01-19,0.00017625250476233003,1.249177438969276,-0.3228577075311384,-0.9156845591601683,0.2891723186633215,1.597469925956675,0.12223343413356744
2022-01-20,0.00011314292341478886,1.2545051453954759,-0.31542100308109183,-0.9001577922538185,0.2737490574211345,1.5749470519006237,0.10757817113677859
2022-01-21,8.478491580820777e-05,1.2481774166503985,-0.32295465672006546,-0.8940950774761834,0.28540553573238236,1.5560310351622961,0.11460724828154052
2022-01-24,8.25604957137607e-05,1.246859888261933,-0.3166088678631944,-0.8904714831089735,0.2891827837183708,1.5399787779426932,0.11373114734812609
2022-01-25,0.0001645310085482709,1.2409564390303767,-0.3257410687430221,-0.9027084346933338,0.28208102868119045,1.5969452917597935,0.11989214115889583
2022-01-26,0.00014998379289850804,1.2437325503389607,-0.32473302505921087,-0.9010233400753336,0.28207562046992074,1.5909538456766852,0.11761548217886603
2022-01-27,0.00021795938457586984,1.2548896085854297,-0.35801163271671965,-0.8385924959502504,0.2532269904764853,1.4360467518831466,0.12185793536273354
2022-01-28,0.00033222656549450444,1.2658161627933302,-0.3595365399844269,-0.8658256914612106,0.24522096957846123,1.4968551601527404,0.11211941526017578
2022-01-31,0.0003495364407329006,1.2723039881970544,-0.35653958453841283,-0.8675555178837909,0.23835109705672225,1.4955946730251783,0.10184829075626278
2022-02-01,0.00027398874769645647,1.2593785664572565,-0.33767939784074014,-0.8950535461152259,0.26039551344460726,1.547152640528279,0.10363042094234493
2022-02-02,0.0002572052971261934,1.257740452701534,-0.31647204655797756,-0.8994339877872493,0.2474220069461315,1.549044359596031,0.08159289840367744
2022-02-03,0.00023579226314714152,1.2206493935976013,-0.32199956252934625,-0.9125205407039914,0.24128592638683408,1.5943875853396803,0.10338533070981315
2022-02-04,0.0003433255236139493,1.226855594695082,-0.3152961221122116,-0.9210042269289587,0.22105550077276787,1.6197581476387324,0.09025174786096848
2022-02-07,0.0004133817352486428,1.228427316998278,-0.2966553186024388,-0.9316463135058414,0.21395816544751547,1.6493044293107266,0.08166404050161437
2022-02-08,0.00044222345270654765,1.2339146910257188,-0.2840950881387438,-0.934632760754797,0.23272380884370802,1.6367861324235393,0.07903915813087274
2022-02-09,0.0003506956493615872,1.2128002352117928,-0.2873544666823954,-0.910588571632576,0.25070068059473677,1.5850801180284995,0.10347343691609566
2022-02-10,0.00040416949521289956,1.2067537575174305,-0.2917676116228427,-0.9070551047539464,0.2428203595588233,1.5801279904105312,0.10794130285708159
2022-02-11,0.00040799796597581453,1.204866979766523,-0.290795906391945,-0.9080637284827141,0.2419286604177109,1.5842703636721978,0.10822325806313025
2022-02-14,0.00040742012474828204,1.2041263406794163,-0.2888773383549039,-0.9111627817078318,0.24406278370320966,1.587335933667847,0.10832543827917998
2022-02-15,0.00046885995617865325,1.210954303992625,-0.2869614484590493,-0.9061166484098511,0.2427295240728189,1.5724312079246383,0.1002051925429647
2022-02-16,0.0004513153191878402,1.2113299894620924,-0.2900264098670764,-0.9021665251570243,0.23947731031567102,1.5634522499777654,0.09854139339487639
2022-02-17,0.00039733086071767096,1.2251597142733819,-0.2994999423163516,-0.8879606332793454,0.23651255847514263,1.5288115216065188,0.09322302189387477
2022-02-18,0.000396321886268457,1.2257643226367099,-0.2987348010886749,-0.8876034451377004,0.23629714183854575,1.5289555195832827,0.09163466161076933
2022-02-22,0.00034105632873772135,1.228152741665132,-0.2935263218869091,-0.8938819425175726,0.2353095899302882,1.542660194245525,0.09138079278150427
2022-02-23,0.0003323447879862427,1.240620817846891,-0.28763707504039604,-0.8877834085264156,0.24016734914764593,1.5268062930515236,0.08422489041920493
2022-02-24,0.0003209864397456147,1.2332409913190143,-0.2937740404366772,-0.8836033279774216,0.24207397080492343,1.5274146523191918,0.09134376175158831
2022-02-25,0.00032783874330850774,1.2259755861560664,-0.2886048380392697,-0.8920884194179253,0.2446646333929203,1.5345345756793733,0.09352245122304778
2022-02-28,0.00024122278409259416,1.1979132215641992,-0.2956438754730943,-0.8910671561405787,0.2459744689938419,1.5126459140049335,0.09359496565924881
2022-03-01,0.00021617024363739705,1.2057356331655225,-0.29769671863050884,-0.8773058746279178,0.2501587176022891,1.4871971933064265,0.09127319839986889
2022-03-02,0.00018323624145317931,1.2087736869840804,-0.31216743295615973,-0.8841674755223256,0.24417757407814641,1.4902533610128441,0.107118143618565
2022-03-03,0.00014392766973107818,1.211438518473999,-0.31040866208264495,-0.8882420736002828,0.24232099067253776,1.4900298028725059,0.11368158271000371
2022-03-04,0.00012188211308994477,1.2416876388400626,-0.2865651551180514,-0.8790987302152127,0.2645100402145054,1.4608839999143157,0.0850790350109357
2022-03-07,0.00020884346825635113,1.2348337302111163,-0.25399677718327257,-0.8737976499283171,0.27334649333655003,1.4697576952830085,0.06253143758238455
2022-03-08,0.0002441782622082994,1.2321559717028738,-0.24826424214317885,-0.8688130961973408,0.2681642708780258,1.4626532646786283,0.05652281482351969
2022-03-09,0.00027680014023116913,1.2392607228135093,-0.24584689241585844,-0.8666616206870827,0.2715552728302605,1.4506828752238787,0.05236632526496879
2022-03-10,0.0002224110598935035,1.2435991916162346,-0.24069239956436408,-0.878176201102715,0.281220326634055,1.4602171727142084,0.04840492415399603
2022-03-11,0.0002341057817851959,1.2484836668378216,-0.2339753082140144,-0.8788613443361052,0.2832204644935468,1.4678270687604305,0.03943850389004253
2022-03-14,0.00020200584490538784,1.2527962415232325,-0.23103124534550246,-0.8855261126548891,0.2700793663886619,1.4915627454586342,0.029911395879180236
2022-03-15,0.00015198405744194722,1.2469728807363092,-0.22945013938221892,-0.8765598463860155,0.26166065703815844,1.4850680299480108,0.03474529781603224
2022-03-16,0.00022860629049454835,1.2544939355476856,-0.2229653063275378,-0.8710048115666782,0.26116546356907305,1.467723435952879,0.02963892979057245
2022-03-17,0.00018847947620316807,1.2454282195242286,-0.21777084863581853,-0.8646879932211993,0.27904995147374817,1.4459896772896232,0.03172314306553134
2022-03-18,0.00021829673522838174,1.2441119231453586,-0.21486240139335555,-0.8667734530424045,0.27915805600349364,1.4422505753074226,0.03389797210596204
2022-03-21,0.00021805340575781218,1.2441398020137195,-0.21493645895513608,-0.8664195486821651,0.27890745163912395,1.4423223957706153,0.033922937018528304
2022-03-22,0.00026091934328696274,1.2488382997588094,-0.21559263451766142,-0.8611053589613866,0.2740174796205812,1.4294724157227063,0.031193981017472033
2022-03-23,0.0002892759533905555,1.2481802932293546,-0.2230670871095093,-0.8618739639380801,0.2679440933557981,1.4435859546810104,0.027582397017800582
2022-03-24,0.0003085072750800017,1.2505686407151377,-0.21041216249467695,-0.8662417279970254,0.27421653534730717,1.4557373852489779,0.024659002073599452
2022-03-25,0.0003547794794119827,1.2703572972495076,-0.19604233099513618,-0.8725493872492798,0.2913177214730881,1.4849920842383884,0.009093946317941581
2022-03-28,0.00034325220066663115,1.2711587373156998,-0.19874348671776726,-0.87183360230677,0.28732022859763473,1.4939568327147306,0.005662547553142064
2022-03-29,0.00032959068895053247,1.2748799450465995,-0.20079650351071948,-0.8758638200528375,0.2871932610654512,1.5058024514578874,-0.00195478400662151
2022-03-30,0.0003067024625568799,1.2760075121544023,-0.188559811493774,-0.872003789218017,0.2915423943456769,1.491711731446675,-0.006981844547916019
2022-03-31,0.000275230680879389,1.2818816211785187,-0.19515382241895554,-0.8647151062617922,0.290406554570242,1.4844050454249316,-0.008874876827807604
2022-04-01,0.0002507695211812729,1.2852972874812645,-0.1992223671155475,-0.8641358141114468,0.2999034593196084,1.4814000623786527,-0.00828815058426026
2022-04-04,0.00024650569977582284,1.2893360444201023,-0.19816800733414483,-0.8703039802543049,0.29859135793729263,1.4959524229495378,-0.01679321873247369
2022-04-05,0.00020607307814569736,1.284713095611961,-0.17983324521471128,-0.8805857487903874,0.3022331245636328,1.5060815445136155,-0.011138546179419229
2022-04-06,0.000142105642796574,1.2895206173966696,-0.17728983801267292,-0.8737146072263348,0.3050047488340723,1.5029070370616082,-0.024557704462278306
2022-04-07,8.33779753806643e-05,1.2838348018933599,-0.16807261885795233,-0.8694568126819293,0.3000172026393651,1.4957287685407898,-0.03069917098378705
2022-04-08,9.514146499310422e-05,1.2825994754299543,-0.16499856748486003,-0.8682656836484206,0.30537063179687507,1.4839466429266617,-0.03165391780454172
2022-04-11,5.008286569268828e-05,1.2832372246387782,-0.14684016505762493,-0.8607260181668387,0.32092987332974765,1.4782944694641271,-0.04399189778118119
2022-04-12,0.00010618070107759094,1.2828098015154994,-0.1313137277050451,-0.8645462133285259,0.32227074506469466,1.497082485535214,-0.04900673708469239
2022-04-13,8.848324563128169e-05,1.2801380202197157,-0.13169032928009328,-0.8627835272929856,0.32412714334751513,1.4918083207748594,-0.04747944028189479
2022-04-14,5.534937359030892e-05,1.289090779699768,-0.1358031224599581,-0.8597856886729354,0.33061701513974945,1.4796627354846779,-0.05213817100857349
2022-04-18,2.8518935287434686e-05,1.288921795128085,-0.13693869104460102,-0.8601452395342164,0.3287434220633563,1.472803985563924,-0.04049858512767573
2022-04-19,7.924149284214261e-05,1.2849140409348667,-0.1444253901432195,-0.8662226463743549,0.32966663081885145,1.477252381409975,-0.04851330700860116
2022-04-20,9.34098503435616e-05,1.2857862724682665,-0.13923307082235728,-0.8650861351022795,0.3285543878845085,1.4704520291215553,-0.04676104183731628
2022-04-21,0.0001432994015279057,1.2776569175954384,-0.13088135784008037,-0.8727682667620413,0.3414097892083536,1.469918885531484,-0.04401365626185959
2022-04-22,0.0001524731848401763,1.2601259652212564,-0.12635582528980321,-0.8782618150798339,0.3422858073494899,1.467505178641229,-0.051021486428219
2022-04-25,0.00013631069828432972,1.2601962160696791,-0.12858421145801294,-0.8770643836898069,0.33986212391688103,1.4699055798552911,-0.05001054237997814
2022-04-26,0.00011430524878199125,1.2634590144203963,-0.12793908897143164,-0.878655069386455,0.3408423561492771,1.4720824114382782,-0.05173118280491243
2022-04-27,6.792393782175337e-05,1.2609153523403294,-0.11942733318205452,-0.8732787680510745,0.34526624913582765,1.4571630537109421,-0.058287456315292724
2022-04-28,8.387432794726147e-05,1.269792428443607,-0.12220215509682218,-0.8759650068218391,0.3477553783256768,1.4681771073352539,-0.06118067452363957
2022-04-29,0.00012486700136147478,1.2596267936911818,-0.11615196322229886,-0.8784981610273945,0.3470347432242954,1.4657415878347835,-0.06020836515054767
2022-05-02,0.00013614038944180225,1.2586174070201688,-0.1177246274536091,-0.8758350706990716,0.34471774650385634,1.4564485307105084,-0.06038635584953598
2022-05-03,0.00022067566365892652,1.2583829638818353,-0.11822780230156221,-0.8557199261933452,0.3522373705375745,1.4388266994997156,-0.06811579321247907
2022-05-04,0.00022008982747544559,1.2622185598837685,-0.12050471300316913,-0.8553033477206516,0.35100914185932663,1.4409435392924346,-0.0692867427691638
2022-05-05,0.0001848932244797118,1.2691147598235584,-0.11928510602079298,-0.8594081546103078,0.3514861481704182,1.444798923874385,-0.0704316088460687
2022-05-06,0.0002244043345819206,1.271027236559421,-0.12474440995656186,-0.8616618626697492,0.350920593999299,1.453891403764985,-0.06334173271500476
2022-05-09,0.0003207210081612446,1.26084086658223,-0.11564827622846081,-0.8476803785451748,0.38802548005985726,1.4279548630178653,-0.0825538159127095
2022-05-10,0.0003363501092917558,1.2595597546168233,-0.11469014777597769,-0.8516334114634656,0.386409387793586,1.4323506679457563,-0.08099894065464103
2022-05-11,0.00023116668557667062,1.274371362151188,-0.08436918765600938,-0.8820655827324252,0.40749101965675427,1.4694837540271661,-0.09135329538999881
2022-05-12,7.634040667770501e-05,1.2754033228016406,-0.12397701613143669,-0.8873001696553822,0.3895520097835987,1.485506227521376,-0.059352457609854525
2022-05-13,6.398604751133171e-05,1.2734074694357786,-0.12285192472829423,-0.8865362034666052,0.3934710907992514,1.481451897356326,-0.05632259283686357
2022-05-16,6.063963179308424e-05,1.2733892982853097,-0.11922869969621061,-0.8814222640848137,0.395457368013415,1.468886430654722,-0.06231085994204348
2022-05-17,8.587701556738841e-05,1.2772578333160065,-0.1155589937915753,-0.8785453002996992,0.395269127701695,1.4701898501180723,-0.068105908476106
2022-05-18,0.0001010861218095917,1.2690647454485315,-0.11313770757532299,-0.8747179626833144,0.3896426984236968,1.4629773975057865,-0.0675091739686488
2022-05-19,3.0299472528512428e-05,1.2727195106997242,-0.1093074400745297,-0.8803179849219395,0.40104118978326986,1.4779655380972323,-0.06469947233288993
2022-05-20,4.0442677356539256e-05,1.272637323375074,-0.10872205293642037,-0.8763500684784492,0.4005118442238899,1.4715051914565804,-0.06445510011539562
2022-05-23,8.540128242138164e-05,1.286259698335921,-0.12926421863539553,-0.8691495697599443,0.39126956699785087,1.4829815632218368,-0.06226878672522336
2022-05-24,8.582465625859187e-05,1.2859020278359674,-0.13251377861922942,-0.872800570088938,0.385544180968662,1.4830306057155656,-0.06911022644811216
2022-05-25,3.4434659074465945e-05,1.2816092625287618,-0.1419237805834071,-0.8759527019859025,0.3855182671594673,1.4806102156417589,-0.06355088705778339
2022-05-26,5.014338953172897e-05,1.2779019032103098,-0.13488456396661055,-0.8751281069393038,0.38469491334076,1.4733424056090643,-0.05428531137111628
2022-05-27,7.231420841004947e-05,1.279796305999426,-0.13642073185466147,-0.8751901355844479,0.38364887142237697,1.4739600810247162,-0.055354350184126835
2022-05-31,8.062768037674976e-05,1.2782736655449962,-0.14578981385046313,-0.8723817533133482,0.38271270127935925,1.4674382652461855,-0.058152988757256725
2022-06-01,9.683891183117073e-05,1.2786486466716056,-0.1454768489881697,-0.8746508591759765,0.38154041717608694,1.4762294941022782,-0.059828848485803166
2022-06-02,9.849989444535843e-05,1.2771222751097655,-0.14840484371516674,-0.8726742164516951,0.379892354761787,1.482647890222489,-0.06298548754825307
2022-06-03,2.3457631882164054e-05,1.2863376470946042,-0.15933251235926746,-0.8677440139890338,0.38797174378987925,1.4808501670087681,-0.07037473116539397
2022-06-06,3.517144302589507e-05,1.286722691891136,-0.15828728204506193,-0.8673381952593342,0.388717662277101,1.4804340502975422,-0.07051817518768388
2022-06-07,1.5010753308085866e-05,1.2871377260825931,-0.16559358078988862,-0.8645810079176651,0.38469203893815723,1.4801858732262079,-0.07207283599966874
2022-06-08,7.249630816751892e-05,1.2827166182970284,-0.17029263099348546,-0.8676308261147124,0.3786819802466743,1.4867365428482504,-0.07914858108952784
2022-06-09,0.00011837364341152248,1.2864397398102883,-0.20610215595971454,-0.8612081335375087,0.36011248680478714,1.4775753095874953,-0.09091195167972782
2022-06-10,7.86232088369428e-05,1.2867048422442835,-0.2139542517478956,-0.8597964453291228,0.356792251185966,1.4803840247883113,-0.09511489539080245
2022-06-13,0.00010388350474633922,1.2653507097798882,-0.1999862892948358,-0.8498157934812403,0.37740773972884,1.4177402845913791,-0.06344720333712832
2022-06-14,0.00012667918755317138,1.2642907327060964,-0.19932907215192797,-0.8538485611828065,0.3767874707221835,1.4203252081870392,-0.06084880385691063
2022-06-15,5.390282754755434e-05,1.268882472183746,-0.20310697664575117,-0.8607971336245885,0.3820641786550142,1.439958957756505,-0.06729614575855326
2022-06-16,0.0001186516401763226,1.2562649675686177,-0.22037763606774718,-0.8604196968955518,0.37437603470474645,1.4150953638586872,-0.059656936716946385
2022-06-17,0.00016208379420757984,1.2557139957545242,-0.20482334922330347,-0.861714561244934,0.38764622523451453,1.4068465459393051,-0.07052111429202786
2022-06-21,0.0001809016916654935,1.2589807134449487,-0.22042470522862917,-0.856499725662796,0.37703268609992324,1.4000914931432695,-0.06645079310535151
2022-06-22,0.00019687853984922554,1.2588785078191624,-0.2193409719535646,-0.8577386733782049,0.37901840042752344,1.398893374273328,-0.0663464223047536
2022-06-23,0.00017338355348137146,1.2592365263159915,-0.22339271528794352,-0.8539337421667337,0.37560766872486695,1.3985074546615401,-0.06513330445066381
2022-06-24,0.0001656610436308832,1.2497425775027013,-0.2090540777794464,-0.8660873001267235,0.37454551208668874,1.4079433313648304,-0.056243842777934164
2022-06-27,0.00018385162996937876,1.250213756619335,-0.2121306696760324,-0.8635660286128497,0.37237609684360073,1.4066568646254494,-0.05766643438886263
2022-06-28,0.0002011820009135062,1.2488122208238168,-0.2153011104438423,-0.8643836494022106,0.368378386035097,1.4071327806012452,-0.054778341505112044
2022-06-29,0.00024219898453950732,1.2474596337553272,-0.21604977872709488,-0.8677847028326933,0.3767357505843283,1.395885067537253,-0.04984551868092906
2022-06-30,0.0002164188920436095,1.249272708493356,-0.2235915361426727,-0.8645696751863694,0.3704234339023938,1.399953247203201,-0.054614953749677585
2022-07-01,0.00025584762703514377,1.2514433409799346,-0.22480076857070658,-0.8603794313003015,0.36667397392852785,1.4011493015531662,-0.059806715897991775
2022-07-05,0.00036857150080169465,1.2406643947718083,-0.20917616111823256,-0.8563859226860977,0.3513550962279187,1.3866476303449504,-0.09119068053598661
2022-07-06,0.0003616524819288637,1.2417127044071954,-0.20853161821197058,-0.8522967511620734,0.34886503035617794,1.3820158827862048,-0.0882205803341387
2022-07-07,0.00043304227598969704,1.244450395933283,-0.19957731352250996,-0.8352451842723791,0.34280060792079176,1.3417233518912297,-0.08463060038808462
2022-07-08,0.000489676033695812,1.241953158774877,-0.19987631980175316,-0.8369549601387112,0.3399408679512177,1.3383514989853307,-0.08183634787601154
2022-07-11,0.0004303922890297602,1.237800670291454,-0.20395286926181533,-0.8385594770364927,0.3328329747322779,1.3408705949158424,-0.09429084549344979
2022-07-12,0.0004609995751150487,1.2366694016895603,-0.19059567006134726,-0.8472022003899784,0.33772144570450613,1.36499226732825,-0.10177746148870255
2022-07-13,0.0004648343063384152,1.2363262810690214,-0.1852654926242075,-0.846578319999517,0.33817521179762866,1.3606442576029567,-0.09896707308603295
2022-07-14,0.0004811516891180614,1.2317523500733372,-0.17890916863599068,-0.8569669293233211,0.3336740723198531,1.3517609490168467,-0.08080034939809141
2022-07-15,0.0004394238580010073,1.2292972452565438,-0.17554811196917278,-0.8668235246967991,0.33452922192158463,1.3618872892480889,-0.07694000341422971
2022-07-18,0.000466861787950708,1.2266944828312725,-0.1792304222209282,-0.8685177879745312,0.33424374386383504,1.3605162112436489,-0.08020685930737795
2022-07-19,0.0005011229073475718,1.2176137107959253,-0.18267144115776007,-0.8730604214469793,0.3291134327557679,1.350660641594818,-0.0760787433686846
2022-07-20,0.0005600640569832434,1.2115491897673838,-0.18307785161817436,-0.8550731760195982,0.31764689486291986,1.321426243837398,-0.09381847756868773
2022-07-21,0.0005893813779463859,1.2127676980240016,-0.18162604426953471,-0.8517218775938445,0.31416538545990724,1.3129753399963549,-0.08832588593339731
2022-07-22,0.0005681290945474191,1.211988205736957,-0.18202026590280898,-0.8453290444837773,0.30747146229697675,1.3022919894239426,-0.09218052891825267
2022-07-25,0.0005663180634393173,1.2118388391661625,-0.18312599300321813,-0.8468474073286782,0.3075385122214119,1.3043749715915567,-0.0937906153426229
2022-07-26,0.00056724702230866,1.2116939821509942,-0.18259964531341571,-0.8473932008381613,0.3077830745118664,1.3048693206833972,-0.09335632211193728
2022-07-27,0.000634686980434967,1.2154827998504345,-0.18762759215871555,-0.8369994983083233,0.31015002842245604,1.2906854097022045,-0.10096018724987794
